Date,high,low,adjclose,close,open,volume
2008-01-02,349.0340270996094,339.2041931152344,342.93792724609375,342.93792724609375,346.7817687988281,8605100
2008-01-03,343.7687683105469,338.5986022949219,343.00799560546875,343.00799560546875,342.97296142578125,6498400
2008-01-04,340.8208312988281,327.82781982421875,328.8288269042969,328.8288269042969,340.1851806640625,10708800
2008-01-07,331.4714660644531,318.9939880371094,324.949951171875,324.949951171875,327.29730224609375,12793900
2008-01-08,330.310302734375,315.8158264160156,316.1561584472656,316.1561584472656,326.8268127441406,10667500
2008-01-09,326.99700927734375,311.5665588378906,326.92694091796875,326.92694091796875,315.3353271484375,13465900
2008-01-10,328.9289245605469,320.3753662109375,323.6886901855469,323.6886901855469,322.82781982421875,12655700
2008-01-11,325.06005859375,315.370361328125,319.4444580078125,319.4444580078125,321.6716613769531,9944000
2008-01-14,329.0290222167969,322.94793701171875,327.23724365234375,327.23724365234375,325.8959045410156,8886100
2008-01-15,324.849853515625,318.00799560546875,319.1441345214844,319.1441345214844,323.2732849121094,11125200
2008-01-16,320.3153076171875,301.2662658691406,308.2832946777344,308.2832946777344,314.7998046875,21098800
2008-01-17,313.1831970214844,299.3042907714844,300.6957092285156,300.6957092285156,310.6907043457031,16417100
2008-01-18,305.30029296875,299.5245361328125,300.4254150390625,300.4254150390625,304.4844970703125,17062100
2008-01-22,299.0490417480469,280.8808898925781,292.46746826171875,292.46746826171875,281.2962951660156,18983900
2008-01-23,284.2842712402344,259.759765625,274.5845947265625,274.5845947265625,280.6356506347656,33897400
2008-01-24,290.1351318359375,277.34735107421875,287.53253173828125,287.53253173828125,279.6796875,18782900
2008-01-25,297.79779052734375,283.3733825683594,283.4834899902344,283.4834899902344,296.2012023925781,13918000
2008-01-28,286.4064025878906,274.5745849609375,278.2682800292969,278.2682800292969,285.7707824707031,11621700
2008-01-29,280.9459533691406,270.6055908203125,275.5355224609375,275.5355224609375,280.5155029296875,12553400
2008-01-30,280.4954833984375,272.02703857421875,274.409423828125,274.409423828125,274.869873046875,15863300
2008-01-31,286.7867736816406,267.41241455078125,282.43243408203125,282.43243408203125,269.7747802734375,29712800
2008-02-01,268.6036071777344,255.2552490234375,258.2082214355469,258.2082214355469,264.599609375,35165700
2008-02-04,256.6466369628906,246.52151489257812,247.9629669189453,247.9629669189453,254.789794921875,26287800
2008-02-05,254.7547607421875,244.50450134277344,253.65365600585938,253.65365600585938,244.9599609375,22384100
2008-02-06,255.84083557128906,249.21421813964844,251.10610961914062,251.10610961914062,255.82582092285156,15257500
2008-02-07,257.35235595703125,247.62762451171875,252.72772216796875,252.72772216796875,248.67868041992188,15841900
2008-02-08,259.1241149902344,254.60459899902344,258.6036071777344,258.6036071777344,254.9599609375,13644100
2008-02-11,262.11712646484375,256.95697021484375,260.8408508300781,260.8408508300781,260.5205078125,11640300
2008-02-12,265.5655517578125,256.7717590332031,259.3042907714844,259.3042907714844,261.95697021484375,13311200
2008-02-13,267.76275634765625,259.6046142578125,267.57757568359375,267.57757568359375,261.5115051269531,13236100
2008-02-14,270.7908020019531,265.7657775878906,266.3913879394531,266.3913879394531,269.4444580078125,12940400
2008-02-15,266.5965881347656,262.42742919921875,265.0850830078125,265.0850830078125,264.41943359375,10469700
2008-02-19,267.79779052734375,253.50350952148438,254.729736328125,254.729736328125,267.73773193359375,12688000
2008-02-20,255.76075744628906,249.65965270996094,254.7547607421875,254.7547607421875,252.0070037841797,13311000
2008-02-21,256.8618469238281,250.0,251.6816864013672,251.6816864013672,256.6816711425781,11344200
2008-02-22,254.7547607421875,249.02401733398438,254.15415954589844,254.15415954589844,251.28128051757812,11020700
2008-02-25,253.50350952148438,243.1131134033203,243.46347045898438,243.46347045898438,253.2282257080078,16728800
2008-02-26,233.46847534179688,223.64865112304688,232.32733154296875,232.32733154296875,230.83082580566406,46528000
2008-02-27,237.9829864501953,230.050048828125,236.6666717529297,236.6666717529297,230.2952880859375,20223500
2008-02-28,239.7847900390625,233.91390991210938,237.9329376220703,237.9329376220703,235.48548889160156,13160600
2008-02-29,240.110107421875,232.55755615234375,235.82582092285156,235.82582092285156,236.17117309570312,18831900
